num_nodes,num_edges,source,destination,amount,time,success,total_bidding,total_outsourcing,propability_updates,failed_transactions
436,870,0,435,3924,0.11099934577941895,True,157,157,157,0
440,878,0,439,3960,0.0579986572265625,True,114,114,113,1
444,886,0,443,3996,0.06096220016479492,True,104,104,104,0
448,894,0,447,4032,0.04799985885620117,True,97,97,96,1
452,902,0,451,4068,0.0899972915649414,True,160,160,159,1
456,910,0,455,4104,0.012990951538085938,True,30,30,30,0
460,918,0,459,4140,0.42800188064575195,True,367,367,307,60
468,934,0,467,4212,0.04308629035949707,True,87,87,87,0
472,942,0,471,4248,0.028000593185424805,True,62,62,62,0
476,950,0,475,4284,0.022997140884399414,True,52,52,52,0
480,958,0,479,4320,0.04859113693237305,True,102,102,102,0
484,966,0,483,4356,0.0019958019256591797,True,3,3,3,0
488,974,0,487,4392,0.029001235961914062,True,60,60,60,0
492,982,0,491,4428,0.04899764060974121,True,99,99,99,0
496,990,0,495,4464,0.03429460525512695,True,65,65,65,0
504,1006,0,503,4536,0.009015083312988281,True,13,13,13,0
508,1014,0,507,4572,0.06875038146972656,True,131,131,130,1
512,1022,0,511,4608,0.07699894905090332,True,152,152,140,12
520,1038,0,519,4680,0.6470081806182861,True,468,468,366,102
524,1046,0,523,4716,0.04800105094909668,True,102,102,102,0
528,1054,0,527,4752,0.03088974952697754,True,59,59,59,0
532,1062,0,531,4788,0.029000043869018555,True,41,41,41,0
540,1078,0,539,4860,0.019997596740722656,True,49,49,49,0
544,1086,0,543,4896,0.05363869667053223,True,113,113,112,1
548,1094,0,547,4932,0.2170724868774414,True,190,190,189,1
552,1102,0,551,4968,0.07699847221374512,True,147,147,147,0
556,1110,0,555,5004,0.011999368667602539,True,28,28,28,0
560,1118,0,559,5040,0.010118722915649414,True,27,27,27,0
564,1126,0,563,5076,0.06549525260925293,True,131,131,130,1
568,1134,0,567,5112,0.02300119400024414,True,56,56,56,0
572,1142,0,571,5148,0.0540010929107666,True,109,109,109,0
584,1166,0,583,5256,0.23106765747070312,True,251,251,245,6
588,1174,0,587,5292,0.013002872467041016,True,26,26,26,0
592,1182,0,591,5328,0.13437438011169434,True,199,199,199,0
596,1190,0,595,5364,0.04804873466491699,True,94,94,94,0
600,1198,0,599,5400,0.01279902458190918,True,27,27,27,0
604,1206,0,603,5436,0.3128700256347656,True,253,253,251,2
608,1214,0,607,5472,0.0650017261505127,True,124,124,113,11
612,1222,0,611,5508,0.01999974250793457,True,45,45,45,0
616,1230,0,615,5544,0.29700708389282227,True,322,322,278,44
620,1238,0,619,5580,0.8343648910522461,True,464,464,396,68
624,1246,0,623,5616,0.008002758026123047,True,7,7,7,0
628,1254,0,627,5652,0.044001102447509766,True,94,94,93,1
640,1278,0,639,5760,0.08038067817687988,True,88,88,88,0
644,1286,0,643,5796,0.18007946014404297,True,228,228,216,12
648,1294,0,647,5832,0.023983001708984375,True,54,54,54,0
652,1302,0,651,5868,0.04900336265563965,True,97,97,97,0
660,1318,0,659,5940,0.8626279830932617,True,451,451,414,37
664,1326,0,663,5976,0.01799607276916504,True,40,40,40,0
668,1334,0,667,6012,0.011002063751220703,True,22,22,22,0
676,1350,0,675,6084,0.0930488109588623,True,164,164,163,1
680,1358,0,679,6120,0.046999454498291016,True,97,97,97,0
684,1366,0,683,6156,0.12220096588134766,True,212,212,190,22
692,1382,0,691,6228,0.03997015953063965,True,89,89,89,0
700,1398,0,699,6300,0.6928772926330566,True,407,407,359,48
708,1414,0,707,6372,0.030001401901245117,True,66,66,66,0
712,1422,0,711,6408,0.19299912452697754,True,165,165,164,1
716,1430,0,715,6444,0.006959676742553711,True,15,15,15,0
724,1446,0,723,6516,0.028452157974243164,True,65,65,65,0
728,1454,0,727,6552,0.4092576503753662,True,293,293,287,6
732,1462,0,731,6588,0.0840003490447998,True,162,162,131,31
736,1470,0,735,6624,0.13399767875671387,True,207,207,196,11
740,1478,0,739,6660,0.029049396514892578,True,54,54,54,0
744,1486,0,743,6696,0.12695002555847168,True,202,202,187,15
748,1494,0,747,6732,0.09600162506103516,True,164,164,163,1
752,1502,0,751,6768,0.04396319389343262,True,67,67,67,0
756,1510,0,755,6804,0.570225715637207,True,322,322,307,15
764,1526,0,763,6876,0.2829732894897461,True,303,303,290,13
772,1542,0,771,6948,0.07390975952148438,True,120,120,120,0
780,1558,0,779,7020,0.09800410270690918,True,161,161,161,0
784,1566,0,783,7056,0.008837699890136719,True,11,11,11,0
792,1582,0,791,7128,0.01700139045715332,True,41,41,41,0
800,1598,0,799,7200,0.21100425720214844,True,278,278,256,22
