num_nodes,num_edges,source,destination,amount,time,success,total_bidding,total_outsourcing,propability_updates,failed_transactions
524,1046,0,523,4716,0.04700803756713867,True,102,102,102,0
528,1054,0,527,4752,0.0269930362701416,True,59,59,59,0
532,1062,0,531,4788,0.017468929290771484,True,41,41,41,0
540,1078,0,539,4860,0.02199864387512207,True,49,49,49,0
544,1086,0,543,4896,0.054999589920043945,True,113,113,112,1
548,1094,0,547,4932,0.21399974822998047,True,190,190,189,1
552,1102,0,551,4968,0.08100128173828125,True,147,147,147,0
556,1110,0,555,5004,0.015642881393432617,True,28,28,28,0
560,1118,0,559,5040,0.015000343322753906,True,27,27,27,0
564,1126,0,563,5076,0.06900191307067871,True,131,131,130,1
568,1134,0,567,5112,0.023000478744506836,True,56,56,56,0
572,1142,0,571,5148,0.05200076103210449,True,109,109,109,0
584,1166,0,583,5256,0.20300722122192383,True,251,251,245,6
588,1174,0,587,5292,0.010859966278076172,True,26,26,26,0
592,1182,0,591,5328,0.11999940872192383,True,199,199,199,0
596,1190,0,595,5364,0.09183883666992188,True,94,94,94,0
600,1198,0,599,5400,0.012000799179077148,True,27,27,27,0
604,1206,0,603,5436,0.23805737495422363,True,253,253,251,2
608,1214,0,607,5472,0.08600020408630371,True,166,166,134,32
612,1222,0,611,5508,0.019699573516845703,True,45,45,45,0
616,1230,0,615,5544,0.414623498916626,True,490,490,362,128
624,1246,0,623,5616,0.002991914749145508,True,7,7,7,0
628,1254,0,627,5652,0.05600237846374512,True,94,94,93,1
640,1278,0,639,5760,0.0530247688293457,True,88,88,88,0
644,1286,0,643,5796,0.18500828742980957,True,270,270,237,33
648,1294,0,647,5832,0.028001785278320312,True,54,54,54,0
652,1302,0,651,5868,0.04999899864196777,True,97,97,97,0
664,1326,0,663,5976,0.018929719924926758,True,40,40,40,0
668,1334,0,667,6012,0.008000850677490234,True,22,22,22,0
676,1350,0,675,6084,0.270993709564209,True,164,164,163,1
680,1358,0,679,6120,0.04699850082397461,True,97,97,97,0
684,1366,0,683,6156,0.27199792861938477,True,296,296,232,64
692,1382,0,691,6228,0.039368391036987305,True,89,89,89,0
708,1414,0,707,6372,0.030869722366333008,True,66,66,66,0
712,1422,0,711,6408,0.09030532836914062,True,165,165,164,1
716,1430,0,715,6444,0.00774836540222168,True,15,15,15,0
724,1446,0,723,6516,0.03087902069091797,True,65,65,65,0
728,1454,0,727,6552,0.30648064613342285,True,293,293,287,6
732,1462,0,731,6588,0.14899945259094238,True,288,288,194,94
736,1470,0,735,6624,0.28275060653686523,True,249,249,217,32
740,1478,0,739,6660,0.026878833770751953,True,54,54,54,0
744,1486,0,743,6696,0.1810169219970703,True,244,244,208,36
748,1494,0,747,6732,0.12013792991638184,True,164,164,163,1
752,1502,0,751,6768,0.02770233154296875,True,67,67,67,0
756,1510,0,755,6804,0.4702565670013428,True,364,364,328,36
764,1526,0,763,6876,0.5909838676452637,True,345,345,311,34
772,1542,0,771,6948,0.05998563766479492,True,120,120,120,0
780,1558,0,779,7020,0.08801674842834473,True,161,161,161,0
784,1566,0,783,7056,0.00377655029296875,True,11,11,11,0
792,1582,0,791,7128,0.019559860229492188,True,41,41,41,0
800,1598,0,799,7200,0.5109906196594238,True,362,362,298,64
