num_nodes,num_edges,source,destination,amount,time,success,total_bidding,total_outsourcing,propability_updates,failed_transactions
368,734,0,367,3312,0.003998517990112305,True,45,45,45,0
372,742,0,371,3348,0.00999903678894043,True,72,72,72,0
376,750,0,375,3384,0.004999637603759766,True,52,52,101,50
380,758,0,379,3420,0.006998538970947266,True,37,37,37,0
384,766,0,383,3456,0.03700113296508789,False,177,176,4671,4671
388,774,0,387,3492,0.008998632431030273,True,68,68,68,0
392,782,0,391,3528,0.043000221252441406,False,193,192,5444,5444
396,790,0,395,3564,0.03198742866516113,False,172,171,4642,4642
400,798,0,399,3600,0.0010008811950683594,True,9,9,9,0
404,806,0,403,3636,0.05099916458129883,False,204,203,5648,5648
408,814,0,407,3672,0.024705886840820312,False,127,126,3113,3113
412,822,0,411,3708,0.0010001659393310547,True,2,2,2,0
416,830,0,415,3744,0.005035877227783203,True,52,52,52,0
420,838,0,419,3780,0.0010006427764892578,True,9,9,9,0
424,846,0,423,3816,0.013998270034790039,True,108,108,108,0
428,854,0,427,3852,0.0060007572174072266,True,59,59,59,0
432,862,0,431,3888,0.0009980201721191406,True,8,8,8,0
436,870,0,435,3924,0.049001455307006836,False,211,210,6038,6038
440,878,0,439,3960,0.03103494644165039,False,159,158,4095,4095
444,886,0,443,3996,0.010962724685668945,True,61,61,61,0
448,894,0,447,4032,0.023965120315551758,True,139,139,139,0
452,902,0,451,4068,0.003999233245849609,True,38,38,38,0
456,910,0,455,4104,0.01597428321838379,True,111,111,159,49
460,918,0,459,4140,0.0439906120300293,False,182,181,4858,4858
464,926,0,463,4176,0.02100682258605957,False,114,113,2655,2655
468,934,0,467,4212,0.010024547576904297,True,87,87,87,0
472,942,0,471,4248,0.01498723030090332,True,102,102,102,0
476,950,0,475,4284,0.0010018348693847656,True,16,16,16,0
480,958,0,479,4320,0.041059017181396484,False,165,164,4300,4300
484,966,0,483,4356,0.0029990673065185547,True,19,19,19,0
488,974,0,487,4392,0.014025449752807617,True,108,108,108,0
492,982,0,491,4428,0.005023479461669922,True,29,29,29,0
496,990,0,495,4464,0.054032087326049805,False,236,235,6839,6839
500,998,0,499,4500,0.03203606605529785,False,179,178,4803,4803
504,1006,0,503,4536,0.04600024223327637,False,218,217,6115,6115
508,1014,0,507,4572,0.04103541374206543,False,199,198,5485,5485
512,1022,0,511,4608,0.0020134449005126953,True,26,26,26,0
516,1030,0,515,4644,0.021999120712280273,False,136,135,3391,3391
520,1038,0,519,4680,0.004003763198852539,True,37,37,37,0
524,1046,0,523,4716,0.010001659393310547,True,85,85,85,0
528,1054,0,527,4752,0.019999980926513672,False,134,133,3322,3322
532,1062,0,531,4788,0.033998966217041016,False,174,173,4719,4719
536,1070,0,535,4824,0.002998828887939453,True,27,27,27,0
540,1078,0,539,4860,0.016993999481201172,True,116,116,203,88
544,1086,0,543,4896,0.014011383056640625,True,100,100,100,0
548,1094,0,547,4932,0.010999441146850586,True,87,87,87,0
552,1102,0,551,4968,0.0009813308715820312,True,8,8,8,0
556,1110,0,555,5004,0.009034156799316406,True,77,77,77,0
560,1118,0,559,5040,0.053002357482910156,False,219,218,6145,6145
564,1126,0,563,5076,0.035001516342163086,False,188,187,5023,5023
568,1134,0,567,5112,0.01600790023803711,False,110,109,2527,2527
572,1142,0,571,5148,0.0,True,0,0,0,0
576,1150,0,575,5184,0.0010018348693847656,True,16,16,16,0
580,1158,0,579,5220,0.005000114440917969,True,46,46,46,0
584,1166,0,583,5256,0.0011258125305175781,True,12,12,12,0
588,1174,0,587,5292,0.010001420974731445,True,84,84,84,0
592,1182,0,591,5328,0.0010006427764892578,True,18,18,18,0
596,1190,0,595,5364,0.0030066967010498047,True,35,35,35,0
600,1198,0,599,5400,0.0010044574737548828,True,10,10,10,0
604,1206,0,603,5436,0.07763028144836426,False,234,233,6542,6542
608,1214,0,607,5472,0.04864096641540527,True,218,218,536,320
612,1222,0,611,5508,0.0010344982147216797,True,14,14,14,0
616,1230,0,615,5544,0.0010030269622802734,True,1,1,1,0
620,1238,0,619,5580,0.037032365798950195,True,196,196,444,250
624,1246,0,623,5616,0.038036346435546875,False,197,196,4815,4815
628,1254,0,627,5652,0.1294875144958496,False,320,319,9603,9603
632,1262,0,631,5688,0.0010006427764892578,True,13,13,13,0
636,1270,0,635,5724,0.027080297470092773,True,161,161,247,87
640,1278,0,639,5760,0.028000354766845703,True,165,165,165,0
644,1286,0,643,5796,0.0030002593994140625,True,29,29,29,0
648,1294,0,647,5832,0.05999922752380371,False,250,249,7159,7159
652,1302,0,651,5868,0.0019986629486083984,True,22,22,22,0
656,1310,0,655,5904,0.052474260330200195,False,236,235,6559,6559
660,1318,0,659,5940,0.010001182556152344,True,93,93,93,0
664,1326,0,663,5976,0.03918814659118652,True,200,200,349,150
668,1334,0,667,6012,0.13860487937927246,False,275,274,8008,8008
672,1342,0,671,6048,0.09627509117126465,False,286,285,8566,8566
676,1350,0,675,6084,0.021999120712280273,True,125,125,125,0
680,1358,0,679,6120,0.013999462127685547,True,85,85,162,78
684,1366,0,683,6156,0.09900093078613281,True,280,280,695,417
688,1374,0,687,6192,0.03296518325805664,False,158,157,4105,4105
692,1382,0,691,6228,0.033025264739990234,False,162,161,4265,4265
696,1390,0,695,6264,0.004022359848022461,True,42,42,42,0
700,1398,0,699,6300,0.015033483505249023,False,105,104,2367,2367
704,1406,0,703,6336,0.07100749015808105,False,276,275,8322,8322
708,1414,0,707,6372,0.01996636390686035,True,139,139,333,196
712,1422,0,711,6408,0.0029973983764648438,True,25,25,25,0
716,1430,0,715,6444,0.056969404220581055,False,245,244,6847,6847
720,1438,0,719,6480,0.024003267288208008,False,147,146,3729,3729
724,1446,0,723,6516,0.04099774360656738,False,209,208,5822,5822
728,1454,0,727,6552,0.08803272247314453,False,297,296,9045,9045
732,1462,0,731,6588,0.009964227676391602,True,77,77,77,0
736,1470,0,735,6624,0.09726977348327637,True,295,295,559,265
740,1478,0,739,6660,0.06703853607177734,False,268,267,7583,7583
744,1486,0,743,6696,0.015000104904174805,True,113,113,113,0
748,1494,0,747,6732,0.04600048065185547,True,217,217,769,556
752,1502,0,751,6768,0.02962493896484375,False,171,170,4479,4479
756,1510,0,755,6804,0.01703476905822754,True,131,131,131,0
760,1518,0,759,6840,0.0,True,2,2,2,0
764,1526,0,763,6876,0.05500650405883789,False,237,236,6591,6591
768,1534,0,767,6912,0.008967161178588867,True,79,79,79,0
772,1542,0,771,6948,0.021031856536865234,False,141,140,3519,3519
776,1550,0,775,6984,0.06403303146362305,False,258,257,7780,7780
780,1558,0,779,7020,0.0048944950103759766,True,40,40,75,36
784,1566,0,783,7056,0.06600117683410645,False,268,267,7866,7866
788,1574,0,787,7092,0.0009996891021728516,True,17,17,17,0
792,1582,0,791,7128,0.00096893310546875,True,5,5,5,0
796,1590,0,795,7164,0.0839993953704834,False,291,290,8876,8876
800,1598,0,799,7200,0.035999298095703125,True,193,193,193,0
