num_nodes,num_edges,source,destination,amount,time,success,total_bidding,total_outsourcing,propability_updates,failed_transactions
376,750,0,375,3384,0.005034446716308594,True,52,52,101,50
380,758,0,379,3420,0.0030159950256347656,True,37,37,37,0
384,766,0,383,3456,0.022998809814453125,False,156,155,1605,1605
388,774,0,387,3492,0.007990360260009766,True,68,68,68,0
392,782,0,391,3528,0.027998685836791992,False,172,171,2105,2105
396,790,0,395,3564,0.023008346557617188,False,151,150,1723,1723
400,798,0,399,3600,0.0,True,9,9,9,0
404,806,0,403,3636,0.03300046920776367,False,183,182,2036,2036
408,814,0,407,3672,0.014763593673706055,False,106,105,1139,1139
412,822,0,411,3708,0.0,True,2,2,2,0
416,830,0,415,3744,0.006005048751831055,True,52,52,52,0
420,838,0,419,3780,0.001971721649169922,True,9,9,9,0
424,846,0,423,3816,0.013969659805297852,True,108,108,108,0
428,854,0,427,3852,0.01003408432006836,True,59,59,59,0
432,862,0,431,3888,0.0,True,8,8,8,0
436,870,0,435,3924,0.06800055503845215,False,190,189,2300,2300
440,878,0,439,3960,0.026966094970703125,False,138,137,1407,1407
444,886,0,443,3996,0.005999565124511719,True,61,61,61,0
448,894,0,447,4032,0.023998737335205078,True,139,139,139,0
452,902,0,451,4068,0.0040018558502197266,True,38,38,38,0
456,910,0,455,4104,0.016009807586669922,True,111,111,159,49
460,918,0,459,4140,0.02500128746032715,False,161,160,1708,1708
464,926,0,463,4176,0.00999903678894043,False,93,92,912,912
468,934,0,467,4212,0.009032011032104492,True,87,87,87,0
472,942,0,471,4248,0.01599884033203125,True,102,102,102,0
476,950,0,475,4284,0.0019981861114501953,True,16,16,16,0
480,958,0,479,4320,0.04500079154968262,False,144,143,1507,1507
484,966,0,483,4356,0.0010004043579101562,True,19,19,19,0
488,974,0,487,4392,0.014000415802001953,True,108,108,108,0
492,982,0,491,4428,0.0030035972595214844,True,29,29,29,0
496,990,0,495,4464,0.047003746032714844,False,215,214,2576,2576
500,998,0,499,4500,0.031015396118164062,False,158,157,1716,1716
504,1006,0,503,4536,0.04399895668029785,False,197,196,2209,2209
508,1014,0,507,4572,0.030998706817626953,False,178,177,1999,1999
512,1022,0,511,4608,0.0019989013671875,True,26,26,26,0
516,1030,0,515,4644,0.016035795211791992,False,115,114,1207,1207
520,1038,0,519,4680,0.0030088424682617188,True,37,37,37,0
524,1046,0,523,4716,0.009980201721191406,True,85,85,85,0
528,1054,0,527,4752,0.015999555587768555,False,113,112,1180,1180
532,1062,0,531,4788,0.027998924255371094,False,153,152,1758,1758
536,1070,0,535,4824,0.0029973983764648438,True,27,27,27,0
540,1078,0,539,4860,0.028995037078857422,True,116,116,203,88
544,1086,0,543,4896,0.02045726776123047,True,100,100,100,0
548,1094,0,547,4932,0.012002944946289062,True,87,87,87,0
552,1102,0,551,4968,0.0,True,8,8,8,0
556,1110,0,555,5004,0.014999151229858398,True,77,77,77,0
560,1118,0,559,5040,0.04999518394470215,False,198,197,2218,2218
564,1126,0,563,5076,0.03703427314758301,False,167,166,1726,1726
568,1134,0,567,5112,0.010987281799316406,False,89,88,868,868
572,1142,0,571,5148,0.0,True,0,0,0,0
576,1150,0,575,5184,0.0020017623901367188,True,16,16,16,0
580,1158,0,579,5220,0.00676274299621582,True,46,46,46,0
584,1166,0,583,5256,0.0010004043579101562,True,12,12,12,0
588,1174,0,587,5292,0.012012720108032227,True,84,84,84,0
592,1182,0,591,5328,0.0019822120666503906,True,18,18,18,0
596,1190,0,595,5364,0.004972934722900391,True,35,35,35,0
600,1198,0,599,5400,0.0009884834289550781,True,10,10,10,0
604,1206,0,603,5436,0.0599665641784668,False,213,212,2300,2300
608,1214,0,607,5472,0.05100202560424805,True,218,218,536,320
612,1222,0,611,5508,0.0019636154174804688,True,14,14,14,0
616,1230,0,615,5544,0.0,True,1,1,1,0
620,1238,0,619,5580,0.04198622703552246,True,196,196,444,250
624,1246,0,623,5616,0.026975154876708984,False,155,154,1539,1539
628,1254,0,627,5652,0.09600090980529785,False,299,298,3597,3597
632,1262,0,631,5688,0.001967191696166992,True,13,13,13,0
636,1270,0,635,5724,0.02700328826904297,True,161,161,247,87
640,1278,0,639,5760,0.02603602409362793,True,165,165,165,0
644,1286,0,643,5796,0.0040018558502197266,True,29,29,29,0
648,1294,0,647,5832,0.06559348106384277,False,229,228,2581,2581
652,1302,0,651,5868,0.0019998550415039062,True,22,22,22,0
656,1310,0,655,5904,0.04499173164367676,False,215,214,2254,2254
660,1318,0,659,5940,0.010993242263793945,True,93,93,93,0
664,1326,0,663,5976,0.037999629974365234,True,200,200,349,150
668,1334,0,667,6012,0.09893393516540527,False,254,253,2905,2905
672,1342,0,671,6048,0.09259533882141113,False,265,264,3274,3274
676,1350,0,675,6084,0.017000198364257812,True,125,125,125,0
680,1358,0,679,6120,0.009032964706420898,True,85,85,162,78
684,1366,0,683,6156,0.08499884605407715,True,280,280,695,417
688,1374,0,687,6192,0.020169496536254883,False,137,136,1459,1459
692,1382,0,691,6228,0.02100062370300293,False,141,140,1535,1535
696,1390,0,695,6264,0.003999233245849609,True,42,42,42,0
700,1398,0,699,6300,0.009999513626098633,False,84,83,813,813
704,1406,0,703,6336,0.06199932098388672,False,255,254,3240,3240
708,1414,0,707,6372,0.02100229263305664,True,139,139,333,196
712,1422,0,711,6408,0.001999378204345703,True,25,25,25,0
716,1430,0,715,6444,0.04699993133544922,False,224,223,2353,2353
720,1438,0,719,6480,0.016999483108520508,False,126,125,1314,1314
724,1446,0,723,6516,0.0360255241394043,False,188,187,2105,2105
728,1454,0,727,6552,0.09903359413146973,False,276,275,3543,3543
732,1462,0,731,6588,0.009940862655639648,True,77,77,77,0
736,1470,0,735,6624,0.11201000213623047,True,295,295,559,265
740,1478,0,739,6660,0.06503701210021973,False,247,246,2606,2606
744,1486,0,743,6696,0.013997316360473633,True,113,113,113,0
748,1494,0,747,6732,0.04600095748901367,True,217,217,769,556
752,1502,0,751,6768,0.023004531860351562,False,150,149,1539,1539
756,1510,0,755,6804,0.021033287048339844,True,131,131,131,0
760,1518,0,759,6840,0.0,True,2,2,2,0
764,1526,0,763,6876,0.04400300979614258,False,216,215,2265,2265
768,1534,0,767,6912,0.008966922760009766,True,79,79,79,0
772,1542,0,771,6948,0.016001462936401367,False,120,119,1209,1209
776,1550,0,775,6984,0.05099987983703613,False,237,236,3097,3097
780,1558,0,779,7020,0.004034280776977539,True,40,40,75,36
784,1566,0,783,7056,0.0559992790222168,False,247,246,2931,2931
788,1574,0,787,7092,0.001999378204345703,True,17,17,17,0
792,1582,0,791,7128,0.0009999275207519531,True,5,5,5,0
796,1590,0,795,7164,0.07303261756896973,False,270,269,3479,3479
800,1598,0,799,7200,0.036000728607177734,True,193,193,193,0
